Region,Year,Nitrogen,Phosphorous,TSS,
DC,1985,6170908.672,87775.34811,17499478.6,
DC,2009,2877079.831,71053.66992,16948110.81,
DC,2010,2501941.57,63465.49311,18243530.7,
DC,2011,2118749.551,79758.64429,18973990.27,
DC,2012,1777970.84,67393.156,18477704.73,
DC,2013,1775223.292,60502.64134,17101879.36,
DC,2014,2071222.356,70216.23664,17149427.95,
DC,2015,1499977.372,63136.33844,16088292.01,
DC,2016,1424607.434,69789.03968,15950632.34,
DC,2017,1573635.815,73230.54154,15554196.54,
DC,2018,2574718.332,100431.668,17213336.12,
DC,2025,2373144,120017,17390153,
DE,1985,5266870.487,485484.4153,120887107,
DE,2009,4474252.543,345139.7868,98946818.35,
DE,2010,4331600.56,334854.1575,96678813,
DE,2011,4252397.974,330183.0378,92359004.35,
DE,2012,4211075.348,322683.6237,91244863.15,
DE,2013,4517703.334,351582.6784,98722973.36,
DE,2014,4048021.002,266298.2568,85520135.86,
DE,2015,4027923.247,268137.8003,77772386.69,
DE,2016,3987991.282,267169.7585,80389181.13,
DE,2017,4131960.056,271163.2697,81087663.02,
DE,2018,3824330.417,304155.1147,99455088.94,
DE,2025,3391049,276832,99793936,
MD,1985,76560804.19,5359897.811,1871291984,
MD,2009,51947956.55,3301241.863,1395117266,
MD,2010,52755925.33,3300493.262,1375815881,
MD,2011,50150605.5,3129012.597,1331552640,
MD,2012,49961726.97,3181520.552,1372972009,
MD,2013,47569054.06,2998534.332,1252731123,
MD,2014,49814770.27,2918922.264,1298754631,
MD,2015,48089703.48,2802903.855,1247028633,
MD,2016,47987846.9,2799684.592,1195453252,
MD,2017,46901249.87,2718518.341,1185165276,
MD,2018,45481182.62,3006496.745,1367839576,
MD,2025,41170000,2810000,1349654449,
NY,1985,13914007.14,1248610.715,377509877.8,
NY,2009,10719411.2,955986.4027,331835932,
NY,2010,10575360.66,925352.3449,325513461.6,
NY,2011,10281476.02,877570.0723,314781507.1,
NY,2012,11105992.1,896270.4725,317009307.3,
NY,2013,10905293,836125.9832,321297341.4,
NY,2014,11234737.85,814467.5966,328431494.2,
NY,2015,10974387.1,770952.4534,326937143.3,
NY,2016,10928128.88,749439.7579,325433980.4,
NY,2017,10884697.21,747925.708,321859487,
NY,2018,9597764.401,768121.3594,315430434.3,
NY,2025,8849999.872,642877.9972,304493435.8,
PA,1985,124277092.7,5957413.984,2998754866,
PA,2009,116635608.6,4984226.474,2644074201,
PA,2010,112059300.4,4858360.524,2469377619,
PA,2011,112468032.7,4796013.571,2512822832,
PA,2012,111363249.3,4541097.585,2553645960,
PA,2013,112709831.9,4541251.514,2564915195,
PA,2014,117013836.2,4438257.598,2618070007,
PA,2015,112906243.3,4261096.646,2458628812,
PA,2016,113077274.8,4256963.634,2434485954,
PA,2017,111020515.8,4200650.549,2377333914,
PA,2018,94051840.95,4136228.79,2224768925,
PA,2025,78995995.84,3570897,1945232075,
VA,1985,85028256.11,11580785.59,4896348835,
VA,2009,68127539.64,8671811.885,3742921311,
VA,2010,68915121.26,8861018.033,3801751665,
VA,2011,62621932.25,8297498.145,3627440356,
VA,2012,61249648.51,8180096.356,3539502338,
VA,2013,60860114.41,7660214.188,3578027434,
VA,2014,59023893.44,6623915.847,3661550432,
VA,2015,58763363,6520982.469,3574267415,
VA,2016,57574797.8,6571203.598,3536610824,
VA,2017,55907815.73,6433282.761,3475296974,
VA,2018,58803789.95,7309950.554,3447997699,
VA,2025,52587956.83,6402043,3251381958,
WV,1985,6367207.762,900681.7635,516092016,
WV,2009,5465048.254,899433.241,445408159.6,
WV,2010,5518330.366,857401.6949,444363956.9,
WV,2011,5398352.624,817777.2102,381243029.6,
WV,2012,5216840.257,782691.7936,351400952.3,
WV,2013,5247015.239,740959.2646,344980544.5,
WV,2014,5272622.196,692726.7859,338367906.7,
WV,2015,5230821.152,671291.54,334768699.6,
WV,2016,5213163.027,657761.5314,331912150.7,
WV,2017,5094444.568,652932.965,330796638.8,
WV,2018,5199989.705,740487.0964,401715190.3,
WV,2025,5023284.006,634523,372586544,
All,1985,317585147.1,25620649.63,10798384165,
All,2009,260246896.6,19228893.32,8675251798,
All,2010,256657580.2,19200945.51,8531744927,
All,2011,247291546.7,18327813.28,8279173359,
All,2012,244886503.3,17971753.54,8244253135,
All,2013,243584235.2,17189170.6,8177776491,
All,2014,248479103.3,15824804.59,8347844034,
All,2015,241492418.6,15358501.1,8035491382,
All,2016,240193810.2,15372011.91,7920235975,
All,2017,235514319.1,15097704.14,7787094149,
All,2018,219533616.4,16365871.33,7874420250,
All,2025,192391429.5,14457190,7340532551,
